code,category_code,category,canonical_name,active_dictionary
ม01,ม,ผลไม้,กล้วยไข่,True
ม02,ม,ผลไม้,กล้วยน้ำว้า,True
ม03,ม,ผลไม้,กล้วยหอม,True
ม04,ม,ผลไม้,กระท้อน,True
ม05,ม,ผลไม้,แก้วมังกร,True
ม06,ม,ผลไม้,แก้วมังกรขาว,True
ม07,ม,ผลไม้,แก้วมังกรแดง,True
ม08,ม,ผลไม้,ขนุน,True
ม09,ม,ผลไม้,เนื้อขนุน,True
ม10,ม,ผลไม้,เงาะ,True
ม11,ม,ผลไม้,ชมพู่,True
ม12,ม,ผลไม้,เซียนท้อ,True
ม13,ม,ผลไม้,แตงไทย,True
ม14,ม,ผลไม้,แตงโม,True
ม15,ม,ผลไม้,ทับทิม,True
ม16,ม,ผลไม้,น้อยหน่า,True
ม17,ม,ผลไม้,น้อยหน่าเก่า,True
ม18,ม,ผลไม้,ฝรั่ง,True
ม19,ม,ผลไม้,ฝรั่งขาว,True
ม20,ม,ผลไม้,ฝรั่งแดง,True
ม21,ม,ผลไม้,ฝรั่งกิมจู,True
ม22,ม,ผลไม้,ฝรั่งแป้น,True
ม23,ม,ผลไม้,พีช,True
ม24,ม,ผลไม้,พีชขน,True
ม25,ม,ผลไม้,พุทรา,True
ม26,ม,ผลไม้,พุทราไทย,True
ม27,ม,ผลไม้,พุทรานม,True
ม28,ม,ผลไม้,พุทรานมสด,True
ม29,ม,ผลไม้,มะพร้าว,True
ม30,ม,ผลไม้,มะเฟือง,True
ม31,ม,ผลไม้,มะม่วงเขียวมรกต,True
ม32,ม,ผลไม้,มะม่วงงาช้าง,True
ม33,ม,ผลไม้,มะม่วงน้ำดอกไม้,True
ม34,ม,ผลไม้,มะม่วงน้ำดอกไม้ดิบ,True
ม35,ม,ผลไม้,มหาชนก,True
ม36,ม,ผลไม้,น้ำดอกไม้,True
ม37,ม,ผลไม้,มะละกอ,True
ม38,ม,ผลไม้,มังคุด,True
ม39,ม,ผลไม้,ลองกอง,True
ม40,ม,ผลไม้,ลำไย,True
ม41,ม,ผลไม้,ลูกพลับ,True
ม42,ม,ผลไม้,ลูกพีช,True
ม43,ม,ผลไม้,ลูกไหน,True
ม44,ม,ผลไม้,ลูกไหนแดง,True
ม45,ม,ผลไม้,ส้มเขียวหวาน,True
ม46,ม,ผลไม้,ส้มไต้หวัน,True
ม47,ม,ผลไม้,ส้มโอ,True
ม48,ม,ผลไม้,สละ,True
ม49,ม,ผลไม้,สับปะรด,True
ม50,ม,ผลไม้,สาลี่,True
ม51,ม,ผลไม้,สาลี่หอม,True
ม52,ม,ผลไม้,องุ่นเขียว,True
ม53,ม,ผลไม้,องุ่นไข่ปลา,True
ม54,ม,ผลไม้,ไซมัส,True
ม55,ม,ผลไม้,องุ่นดำ,True
ม56,ม,ผลไม้,องุ่นแดง,True
ม57,ม,ผลไม้,องุ่นแม่มด,True
ม58,ม,ผลไม้,องุ่นไร้เม็ด,True
ม59,ม,ผลไม้,อะโวคาโด,True
ม60,ม,ผลไม้,อินทผลัม,True
ม61,ม,ผลไม้,อินทผลัมแดง,True
ม62,ม,ผลไม้,แอปเปิ้ล,True
ม63,ม,ผลไม้,มะม่วงจิ้ว,True
ม64,ม,ผลไม้,ลูกพีชเล็ก,True
ม65,ม,ผลไม้,ลูกพีชใหญ่,True
ม66,ม,ผลไม้,ลูกไหนเขียว,True
ม67,ม,ผลไม้,ลูกไหนดำ,True
ม68,ม,ผลไม้,องุ่นคิมสัน,True
ม69,ม,ผลไม้,ส้มแมนดาริน,True
ม70,ม,ผลไม้,องุ่นเคียวโฮ,True
ม71,ม,ผลไม้,ลิ้นจี่,True
ม72,ม,ผลไม้,มะม่วงแก้วขมิ้น,True
ม73,ม,ผลไม้,มะม่วงฟ้าลั่น,True
ม74,ม,ผลไม้,พุทราจีน,True
ม75,ม,ผลไม้,มันแกว,True
ม76,ม,ผลไม้,องุ่นไร้ออส,True
ม77,ม,ผลไม้,แอปเปิ้ลแคระ,True
ม78,ม,ผลไม้,เมล่อนกล่อง,True
ม79,ม,ผลไม้,องุ่นลิ้นจี่,True
ม80,ม,ผลไม้,องุ่นจักรพรรดิ์,True
ผ01,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,ฝักกระเจี๊ยบ,True
ผ02,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,กระชาย,True
ผ03,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,กระชายซอย,True
ผ04,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,กระเทียมกลีบ,True
ผ05,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,กระเทียมกลีบเล็ก,True
ผ06,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,กระเทียมกลีบใหญ่,True
ผ07,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,กระเทียมหัว,True
ผ08,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,กะเพรา,True
ผ09,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,กะหล่ำปลี,True
ผ10,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,กะหล่ำปลีนอก,True
ผ11,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,กะหล่ำปลีหัวใจ,True
ผ12,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,กะหล่ำดอก,True
ผ13,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,กวางตุ้งไทย,True
ผ14,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,กวางตุ้งญี่ปุ่น,True
ผ15,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,กวางตุ้งดอกเหลือง,True
ผ16,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,ก้านจอง,True
ผ17,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,ขมิ้น,True
ผ18,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,ขมิ้นขาว,True
ผ19,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,ข้าวโพดอ่อน,True
ผ20,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,ข่าอ่อน,True
ผ21,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,ขิงแก่,True
ผ22,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,ขิงอ่อน,True
ผ23,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,ขิงซอย,True
ผ24,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,คะน้าเล็ก,True
ผ25,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,คะน้าใหญ่,True
ผ26,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,คะน้าฮ่องกง,True
ผ27,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,แครอท,True
ผ28,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,ชะอม,True
ผ29,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,ดอกขจร,True
ผ30,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,ดอกแค,True
ผ31,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,ดอกผักปัง,True
ผ32,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,ดอกไม้กวาด,True
ผ33,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,ดอกโสน,True
ผ34,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,ดอกหอม,True
ผ35,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,ต้นหอม,True
ผ36,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,ตำลึง,True
ผ37,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,แตงกวา,True
ผ38,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,แตงกวาญี่ปุ่น,True
ผ39,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,แตงร้าน,True
ผ40,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,ถั่วแขก,True
ผ41,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,ถั่วงอก,True
ผ42,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,ถั่วฝักยาว,True
ผ43,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,ถั่วพู,True
ผ44,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,ถั่วลันเตา,True
ผ45,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,น้ำเต้า,True
ผ46,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,บวบงู,True
ผ47,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,บวบหอม,True
ผ48,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,บวบเหลี่ยม,True
ผ49,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,บรอกโคลี,True
ผ50,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,ผักกระเฉด,True
ผ51,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,ผักกาดขาว,True
ผ52,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,ผักกาดเขียว,True
ผ53,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,ผักกาดดอง,True
ผ54,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,ผักกาดหอม,True
ผ55,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,ผักกาดหิน,True
ผ56,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,ผักแขยง,True
ผ57,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,ผักโขมเล็ก,True
ผ58,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,ผักโขมใหญ่,True
ผ59,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,ผักชีไทย,True
ผ60,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,ผักชีใบเลื่อย,True
ผ61,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,ผักชีลาว,True
ผ62,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,ผักบุ้งจีน,True
ผ63,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,ผักบุ้งไทย,True
ผ64,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,ผักบุ้งส้มตำ,True
ผ65,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,ผักปลัง,True
ผ66,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,สลัดคอต,True
ผ67,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,ผักหวาน,True
ผ68,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,ฟักอ่อน,True
ผ69,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,ฟักทอง,True
ผ70,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,มะเขือเทศราชินี,True
ผ71,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,มะเขือเทศเล็ก,True
ผ72,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,มะเขือเทศใหญ่,True
ผ73,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,มะเขือเปราะ,True
ผ74,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,มะเขือพวง,True
ผ75,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,มะเขือยาว,True
ผ76,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,มะเขือยาวม่วง,True
ผ77,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,มะเขือลายเสือ,True
ผ78,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,มะเขือเหลือง,True
ผ79,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,มะระ,True
ผ80,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,มะระขี้นก,True
ผ81,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,มะระหวาน,True
ผ82,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,มันฝรั่ง,True
ผ83,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,ยอดกระถิน,True
ผ84,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,สายบัว,True
ผ85,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,หน่อไม้ดอง,True
ผ86,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,หน่อไม้ต้ม,True
ผ87,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,หน่อไม้สด,True
ผ88,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,หอมแขก,True
ผ89,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,หอมแขกเล็ก,True
ผ90,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,หอมแขกใหญ่,True
ผ91,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,หอมแดง,True
ผ92,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,หอมหัวใหญ่,True
ผ93,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,หัวไชเท้า,True
ผ94,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,หัวปลี,True
ผ95,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,ใบกระเจี๊ยบ,True
ผ96,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,ใบกะเพรา,True
ผ97,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,ใบกุ้ยช่าย,True
ผ98,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,ใบชะพลู,True
ผ99,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,ใบตั้งโอ๋,True
ผ100,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,ใบบัวบก,True
ผ101,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,ใบมะกรูด,True
ผ102,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,ใบแมงลัก,True
ผ103,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,ใบโหระพา,True
ผ104,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,สะระแหน่,True
ผ105,ผ,ผัก / สมุนไพร / เครื่องประกอบอาหาร,มะกรูด,True
